name,prior,d_kpc,d_err_kpc,d_ly,d_err_ly
B1855+09,PX,1.18,0.12,3848.6407999999997,391.3872
B1937+21,PX,3.1,0.2,10110.836,652.312
B1953+29,DM,4.64,0.93,15133.638399999998,3033.2508000000003
J0023+0923,PX,1.02,0.11,3326.7912,358.7716
J0030+0451,PX,0.3296,0.0036,1075.010176,11.741615999999999
J0340+4130,DM,1.71,0.34,5577.2676,1108.9304
J0406+3039,DM,1.72,0.34,5609.8832,1108.9304
J0437-4715,PX,0.1549,0.001,505.215644,3.26156
J0509+0856,DM,1.45,0.29,4729.262,945.8523999999999
J0557+1551,DM,2.87,0.57,9360.6772,1859.0892
J0605+3757,DM,0.7,0.14,2283.0919999999996,456.6184
J0610-2100,PX,1.38,0.14,4500.9528,456.6184
J0613-0200,PX,1.07,0.1,3489.8692,326.156
J0636+5128,PX,1.27,0.29,4142.1812,945.8523999999999
J0645+5158,PX,1.37,0.19,4468.3372,619.6964
J0709+0458,DM,1.8,0.36,5870.808,1174.1616
J0740+6620,PX,0.94,0.19,3065.8664,619.6964
J0931-1902,DM,1.88,0.38,6131.7328,1239.3928
J1012+5307,PX,0.862,0.022,2811.46472,71.75431999999999
J1012-4235,DM,2.5,0.5,8153.9,1630.78
J1022+1001,PX,0.706,0.019,2302.66136,61.96964
J1024-0719,PX,1.08,0.042,3522.4848,136.98552
J1125+7819,DM,0.63,0.13,2054.7828,424.0028
J1312+0051,DM,0.84,0.17,2739.7104,554.4652
J1453+1902,DM,1.15,0.23,3750.794,750.1588
J1455-3330,PX,1.01,0.22,3294.1756,717.5432
J1600-3053,PX,1.84,0.26,6001.2704,848.0056
J1614-2230,PX,0.699,0.026,2279.8304399999997,84.80055999999999
J1630+3734,PX,0.089,0.024,290.27884,78.27744
J1640+2224,PX,1.404,0.095,4579.23024,309.8482
J1643-1224,PX,0.835,0.059,2723.4026,192.43204
J1705-1903,DM,1.62,0.32,5283.7272,1043.6992
J1713+0747,PX,1.138,0.019,3711.6552799999995,61.96964
J1719-1438,DM,1.21,0.24,3946.4876,782.7744
J1730-2304,PX,0.529,0.022,1725.36524,71.75431999999999
J1738+0333,PX,1.64,0.1,5348.9583999999995,326.156
J1741+1351,PX,2.36,0.56,7697.281599999999,1826.4736
J1744-1134,PX,0.4141,0.0093,1350.611996,30.332507999999997
J1745+1017,DM,1.27,0.25,4142.1812,815.39
J1747-4036,DM,3.5,0.7,11415.46,2283.0919999999996
J1751-2857,DM,1.11,0.22,3620.3316000000004,717.5432
J1802-2124,DM,2.96,0.59,9654.2176,1924.3203999999998
J1811-2405,DM,1.79,0.36,5838.1924,1174.1616
J1832-0836,PX,2.0,0.47,6523.12,1532.9332
J1843-1113,DM,1.72,0.34,5609.8832,1108.9304
J1853+1303,PX,1.91,0.17,6229.5796,554.4652
J1903+0327,DM,6.49,1.3,21167.524400000002,4240.028
J1909-3744,PX,1.159,0.013,3780.14804,42.400279999999995
J1910+1256,PX,3.52,0.41,11480.6912,1337.2395999999999
J1911+1347,DM,2.08,0.42,6784.0448,1369.8552
J1918-0642,PX,1.44,0.11,4696.6464,358.7716
J1923+2515,PX,0.94,0.21,3065.8664,684.9276
J1944+0907,PX,1.38,0.36,4500.9528,1174.1616
J1946+3417,DM,5.12,1.02,16699.1872,3326.7912
J2010-1323,PX,1.94,0.41,6327.426399999999,1337.2395999999999
J2017+0603,DM,1.57,0.31,5120.6492,1011.0835999999999
J2033+1734,DM,1.99,0.4,6490.5044,1304.624
J2043+1711,PX,1.58,0.11,5153.2648,358.7716
J2124-3358,PX,0.413,0.055,1347.0242799999999,179.3858
J2145-0750,PX,0.624,0.022,2035.21344,71.75431999999999
J2214+3000,DM,1.54,0.31,5022.8024,1011.0835999999999
J2229+2643,DM,1.43,0.29,4664.0307999999995,945.8523999999999
J2234+0611,PX,1.23,0.17,4011.7188,554.4652
J2234+0944,DM,1.0,0.2,3261.56,652.312
J2302+4442,DM,1.18,0.24,3848.6407999999997,782.7744
J2317+1439,PX,1.57,0.29,5120.6492,945.8523999999999
J2322+2057,PX,1.0,0.21,3261.56,684.9276
